Finnish,English,kappale
kappale,a chapter,1
Hei!,Hello!,1
ja,and,1
Tervetuloa!,Welcome!,1
Anteeksi!,Excuse me!,1
onko,is there,1
täällä,here,1
suomen kurssi,Finnish course,1
joo,"yes, yeah",1
olla,be,1
tämä,this,1
paikka,a place,1
vapaa,"free, available",1
kiva,nice,1
minä,I,1
kuka,who,1
sinä,you,1
Hauska tutustua!,Nice to meet you!,1
Kiitos samoin!,"Thanks, you too!",1
Moi!,Hi!,1
Mitä kuuluu?,How are you?,1
Terve!,Hi!,1
Kiitos!,Thank you!,1
Minulle kuuluu hyvää.,I’m fine.,1
Entä sinulle?,And you?,1
"Ihan hyvää, kiitos.","I’m fine, thanks.",1
tässä,here,1
minun,my,1
nimi,a name,1
opettaja,a teacher,1
Miten se kirjoitetaan?,How do you spell it?,1
etunimi,first name,1
sukunimi,a surname,1
okei,ok,1
kurssipäivä,a course day,1
maanantai,Monday,1
keskiviikko,Wednesday,1
torstai,Thursday,1
kello,a clock (kello 18 = at 6pm),1
minkämaalainen,from which country,2
loppua,to end,2
muu,other,2
opiskelija,a student,2
mennä,to go,2
koti,a home,2
mutta,but,2
kioski,a kiosk,2
ostaa,to buy,2
jäätelö,an ice cream,2
maksaa,to cost,2
euro,a euro,2
ei,no,2
koska,because,2
säästää,to save,2
raha,money,2
sitten,then,2
istua,to sit,2
puisto,a park,2
puhua,to speak,2
nauraa,to laugh,2
brasilialainen,Brazilian,2
venäläinen,Russian,2
mistä,where,2
kotoisin,from,2
Etelä-Afrikka,South-Africa,2
Ai jaa!,I see!,2
kieli,a language,2
äidinkieli,a native language,2
englanti,English,2
myös,also,2
vähän,a little,2
espanja,Spanish,2
en puhu,I don’t speak,2
Brasilia,Brazil,2
portugali,Portuguese,2
Ai niin!,Oh yes!,2
totta,TRUE,2
ajaa,to drive,2
auto,a car,2
bussipysäkki,a bus stop,2
missä,where,2
asua,to live,2
Pohjois-Helsinki,Northern Helsinki,2
bussi,a bus,2
ei ... vaan,not...but,2
ensin,first,2
metro,"an underground, a subway",2
nyt,now,2
tulla,to come,2
soittaa,to phone,3
ystävä,a friend,3
videopuhelu,a video call,3
olla töissä,to be at work / to work,3
jo,already,3
ei vielä,not yet,3
vasta,"only, not more than",3
puoli,half,3
"Ai niin, totta.","Oh, that's right.",3
sää,weather,3
aika,"quite, rather",3
huono,bad,3
-kin = myös,also,3
Sataa kaatamalla.,It’s pouring.,3
On tuulista.,It’s windy.,3
Aijaa!,Oh really?,3
Aurinko paistaa.,The sun is shining.,3
tosi,very,3
lämmin,warm,3
aste,a degree,3
yö,a night,3
niin,so,3
valoisa,light,3
että,that,3
vaikea,difficult,3
nukkua,to sleep,3
kesä,summer,3
nauttia,to enjoy,3
marraskuu,November,3
pimeä,dark,3
"No joo, niin kuulemma!","Oh yes, so I’ve heard!",3
onko sinulla,have you got,3
työpaikka,a job,3
etsiä töitä,to look for work,3
helppo,easy,3
Hieno juttu!,That’s great!,3
millainen,what kind,3
mukava,nice,3
sama,same,3
maanantaisin,on Mondays,3
keskiviikkoisin,on Wednesdays,3
torstaisin,on Thursdays,3
kerta,a time,3
Ohhoh!,Wow!,3
yhtä hyvin kuin,as well as,3
Niin varmaan.,"Yeah, I bet.",3
vielä,still,3
